kepid,kepoi_name,ra_str,dec_str,koi_pdisposition,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_vet_stat,koi_vet_date
11509504,K04232.01,19h31m57.20s,+49d29m05.9s,CANDIDATE,CANDIDATE,2.615797,2.3e-05,-2.3e-05,131.9711,0.0041,-0.0041,124,12,-12,2.48,0.14,-0.14,0.03,0.41,-0.41,0,1766,-1766,90,1.245e+04,-1.245e+04,0.0379417,2.2e-07,-2.2e-07,0,,,,,,0.01,0.015,-0.015,8,59,-59,1.1,1.7,-1.7,1402.0,435.0,-435.0,,,,,,,,,,1.0210,0.0000,0.0000,,,,,,,,Active,2013-06-06
6599949,K04233.01,19h19m37.68s,+42d02m46.3s,FALSE POSITIVE,FALSE POSITIVE,409.3,0.015,-0.015,265.164,0.02,-0.02,684,70,-70,15.9,3.7,-3.7,0.4,4,-4,0,72,-72,90,21,-21,1.0793,2.7e-05,-2.7e-05,0,,,,,,0.024,0.024,-0.024,201,970,-970,2.5,2.6,-2.6,248.0,58.0,-58.0,,,,,,,,,,0.9630,0.0000,0.0000,,,,,,,,Active,2013-07-31
11611275,K04234.01,19h28m38.08s,+49d38m15.9s,CANDIDATE,CANDIDATE,6.942495,8.3e-05,-8.3e-05,135.9558,0.0069,-0.0069,157,14,-14,3.57,0.44,-0.44,0.07,0.64,-0.64,0.6,3.7,-3.7,87,31,-31,0.0723545,5.8e-07,-5.8e-07,0,,,,,,0.0121,0.0099,-0.0099,12,46,-46,1.3,1,-1,967.0,215.0,-215.0,,,,,,,,,,0.9520,0.0000,0.0000,,,,,,,,Active,2013-06-06
10794974,K04235.01,19h23m41.45s,+48d10m49.2s,CANDIDATE,CANDIDATE,66.64367,0.00047,-0.00047,170.0797,0.0039,-0.0039,248,26,-26,2,0.5,-0.5,0.45,0.63,-0.63,0.966,0.045,-0.045,89.32,0.46,-0.46,0.345912,1.6e-06,-1.6e-06,0,,,,,,0.0184,0.0025,-0.0025,82,52,-52,2.52,0.34,-0.34,557.0,138.0,-138.0,,,,,,,,,,1.2550,0.0000,0.0000,,,,,,,,Active,2013-06-06
2449101,K04236.01,19h30m47.65s,+37d46m42.5s,FALSE POSITIVE,FALSE POSITIVE,0.739761,9.9e-06,-9.9e-06,131.8044,0.0048,-0.0048,118,16,-16,1.31,0.11,-0.11,0.46,0.16,-0.16,0.9854,0.0068,-0.0068,17.7,2.8,-2.8,0.012722,1.1e-07,-1.1e-07,0,,,,,,0.0143,0.0017,-0.0017,1.0341,0.0098,-0.0098,0.763,0.09,-0.09,1035.0,62.0,-62.0,,,,,,,,,,0.4900,0.0000,0.0000,,,,,,,,Active,2013-07-31
7259249,K04237.01,18h51m42.66s,+42d48m21.9s,FALSE POSITIVE,FALSE POSITIVE,0.9507382,9.9e-06,-9.9e-06,131.7792,0.0014,-0.0014,208,24,-24,1.105,0.069,-0.069,0.02,0.11,-0.11,0.6,2.3,-2.3,83,39,-39,0.0190884,1.3e-07,-1.3e-07,0,,,,,,0.0139,0.0064,-0.0064,5,11,-11,1.41,0.65,-0.65,1837.0,504.0,-504.0,,,,,,,,,,0.9280,0.0000,0.0000,,,,,,,,Active,2013-07-31
8678691,K04238.01,19h08m54.03s,+44d53m59.4s,FALSE POSITIVE,FALSE POSITIVE,369.7167,0.0085,-0.0085,179.431,0.012,-0.012,1600,153,-153,11.2,2.1,-2.1,0.4,2.6,-2.6,0,11,-11,89.9,2.7,-2.7,0.881456,1.3e-05,-1.3e-05,0,,,,,,0.035,0.031,-0.031,254,689,-689,2.5,2.2,-2.2,177.0,3.6,-3.6,,,,,,,,,,0.6440,0.0000,0.0000,,,,,,,,Active,2013-07-31
9640924,K04239.01,19h11m51.97s,+46d20m18.6s,FALSE POSITIVE,FALSE POSITIVE,2.178153,1.6e-05,-1.6e-05,132.0241,0.0032,-0.0032,119,61,-61,1.91,0.12,-0.12,0.02,0.28,-0.28,0,1.009e+04,-1.009e+04,90,6.563e+04,-6.563e+04,0.0339499,1.7e-07,-1.7e-07,0,,,,,,0.01,0.014,-0.014,9,60,-60,1.2,1.6,-1.6,1536.0,356.0,-356.0,,,,,,,,,,1.0620,0.0000,0.0000,,,,,,,,Active,2013-09-05
9593773,K04240.01,19h36m26.97s,+46d15m09.8s,FALSE POSITIVE,FALSE POSITIVE,3.13412,3.3e-05,-3.3e-05,133.5135,0.0055,-0.0055,165,14,-14,4.05,0.25,-0.25,0.08,0.62,-0.62,0.6,3.3,-3.3,82,67,-67,0.04295,3e-07,-3e-07,0,,,,,,0.0124,0.0086,-0.0086,5,15,-15,1.32,0.92,-0.92,1288.0,271.0,-271.0,,,,,,,,,,0.9790,0.0000,0.0000,,,,,,,,Active,2013-07-31
9285568,K04241.01,19h34m58.38s,+45d45m41.7s,FALSE POSITIVE,FALSE POSITIVE,2.553185,1.7e-05,-1.7e-05,132.4404,0.0032,-0.0032,202,20,-20,1.96,0.53,-0.53,0.21,0.89,-0.89,0.93,0.29,-0.29,77,29,-29,0.0365513,1.6e-07,-1.6e-07,0,,,,,,0.0161,0.0064,-0.0064,4.1,7.4,-7.4,1.15,0.46,-0.46,1071.2,0.0,-0.0,,,,,,,,,,0.6580,0.0000,0.0000,,,,,,,,Active,2013-09-12
7604328,K02458.02,19h22m58.64s,+43d15m38.8s,CANDIDATE,CANDIDATE,2.936622,1.3e-05,-1.3e-05,133.0312,0.0021,-0.0021,322,22,-22,1.82,0.15,-0.15,0.05,0.23,-0.23,0.6,2.6,-2.6,87,22,-22,0.0376363,1.1e-07,-1.1e-07,0,,,,,,0.017,0.0096,-0.0096,10,23,-23,1.73,0.97,-0.97,1193.0,354.0,-354.0,,,,,,,,,,0.9290,0.0000,0.0000,,,,,,,,Active,2013-06-06
9514372,K04242.01,19h02m38.42s,+46d08m36.5s,CANDIDATE,CANDIDATE,145.7985,0.0019,-0.0019,215.009,0.0071,-0.0071,421,42,-42,4.7,2.1,-2.1,0.1,2.4,-2.4,0,296,-296,90,70,-70,0.543574,4.8e-06,-4.8e-06,0,,,,,,0.019,0.05,-0.05,242,3040,-3040,1.9,5.1,-5.1,345.0,87.0,-87.0,,,,,,,,,,0.9410,0.0000,0.0000,,,,,,,,Active,2013-06-06
9777757,K04243.01,19h38m51.10s,+46d34m34.4s,FALSE POSITIVE,FALSE POSITIVE,1.332647,1.3e-05,-1.3e-05,132.026,0.0031,-0.0031,33,3.8,-3.8,2.72,0.57,-0.57,0.015,0.097,-0.097,0.3,9.7,-9.7,86,167,-167,0.023705,1.5e-07,-1.5e-07,0,,,,,,0.0053,0.0035,-0.0035,3.6,9.8,-9.8,0.57,0.38,-0.38,1656.2,0.0,-0.0,,,,,,,,,,1.0000,0.0000,0.0000,,,,,,,,Active,2013-09-05
5097454,K04244.01,19h24m59.68s,+40d13m16.9s,FALSE POSITIVE,FALSE POSITIVE,1.2880312,1.1e-06,-1.1e-06,132.00164,0.00036,-0.00036,4227,47,-47,3.327,0.011,-0.011,1.07,0.023,-0.023,0.9142,0.0021,-0.0021,56.66,0.32,-0.32,0.022985,1.4e-08,-1.4e-08,0,,,,,,0.0733,0.0005,-0.0005,1.663,0.011,-0.011,8.575,0.059,-0.059,1514.2,0.0,-0.0,,,,,,,,,,1.0720,0.0000,0.0000,,,,,,,,Active,2013-09-05
12737015,K04245.01,19h21m55.22s,+51d57m54.0s,CANDIDATE,CANDIDATE,24.6685,0.00052,-0.00052,136.629,0.013,-0.013,107,10,-10,8.24,0.85,-0.85,0.1,1.1,-1.1,0,11,-11,89,36,-36,0.169777,2.4e-06,-2.4e-06,0,,,,,,0.01,0.01,-0.01,21,114,-114,1.1,1.2,-1.2,689.0,151.0,-151.0,,,,,,,,,,1.0880,0.0000,0.0000,,,,,,,,Active,2013-06-06
5177859,K04246.01,19h16m17.75s,+40d21m57.6s,CANDIDATE,CANDIDATE,6.984659,9.5e-05,-9.5e-05,135.9999,0.0081,-0.0081,90,14,-14,2.22,0.94,-0.94,0.1,1.2,-1.2,0.91,0.89,-0.89,85,27,-27,0.0696118,6.3e-07,-6.3e-07,0,,,,,,0.0104,0.0095,-0.0095,11,48,-48,1.3,1.2,-1.2,1035.0,202.0,-202.0,,,,,,,,,,1.1570,0.0000,0.0000,,,,,,,,Active,2013-07-31
8482059,K04247.01,19h03m24.76s,+44d34m20.0s,FALSE POSITIVE,FALSE POSITIVE,349.347,0.018,-0.018,241.533,0.019,-0.019,759,77,-77,13.1,4.3,-4.3,0.3,4.9,-4.9,0,23,-23,89.9,6.9,-6.9,0.962086,3.3e-05,-3.3e-05,0,,,,,,0.025,0.036,-0.036,202,1294,-1294,2.4,3.4,-3.4,242.0,30.0,-30.0,,,,,,,,,,0.8660,0.0000,0.0000,,,,,,,,Active,2013-07-31
4568117,K04248.01,19h33m57.18s,+39d41m46.8s,FALSE POSITIVE,FALSE POSITIVE,0.56257,1.1e-05,-1.1e-05,131.7269,0.0023,-0.0023,29.5,3.8,-3.8,1.58,0.51,-0.51,0.017,0.041,-0.041,0.72,0.85,-0.85,68,48,-48,0.0143019,1.8e-07,-1.8e-07,0,,,,,,0.0054,0.0012,-0.0012,1.9,1.7,-1.7,0.7,0.16,-0.16,2652.0,261.0,-261.0,,,,,,,,,,1.1950,0.0000,0.0000,,,,,,,,Active,2013-09-05
3650049,K04249.01,19h30m19.41s,+38d42m32.8s,FALSE POSITIVE,FALSE POSITIVE,397.723,0.015,-0.015,222.044,0.02,-0.02,1183,134,-134,12.7,1.2,-1.2,4.2,2,-2,0.954,0.021,-0.021,89.45,0.11,-0.11,0.986488,2.6e-05,-2.6e-05,0,,,,,,0.0413,0.0041,-0.0041,100,17,-17,3.93,0.39,-0.39,223.0,57.0,-57.0,,,,,,,,,,0.8740,0.0000,0.0000,,,,,,,,Active,2013-07-31
9641076,K04250.01,19h12m11.95s,+46d21m30.0s,FALSE POSITIVE,FALSE POSITIVE,2.178151,2e-05,-2e-05,132.0178,0.0041,-0.0041,110,10,-10,2.96,0.24,-0.24,0.04,0.21,-0.21,0.5,3.6,-3.6,84,56,-56,0.0313341,1.9e-07,-1.9e-07,0,,,,,,0.0098,0.0057,-0.0057,5,11,-11,1.02,0.59,-0.59,1352.0,312.0,-312.0,,,,,,,,,,0.9460,0.0000,0.0000,,,,,,,,Active,2013-09-05
8741470,K04251.01,19h05m24.81s,+44d57m40.3s,CANDIDATE,CANDIDATE,6.239601,2.2e-05,-2.2e-05,133.7228,0.0018,-0.0018,177,20,-20,0.611,0.092,-0.092,0.016,0.087,-0.087,0.7,1.7,-1.7,89.3,3.5,-3.5,0.0641407,1.5e-07,-1.5e-07,0,,,,,,0.0135,0.0072,-0.0072,56,135,-135,1.62,0.86,-0.86,1043.0,197.0,-197.0,,,,,,,,,,1.0990,0.0000,0.0000,,,,,,,,Active,2013-06-06
11125613,K02485.02,19h00m41.60s,+48d46m12.1s,CANDIDATE,CANDIDATE,3.600795,2.3e-05,-2.3e-05,134.0396,0.0031,-0.0031,332,26,-26,2.46,0.27,-0.27,0.59,0.41,-0.41,0.963,0.025,-0.025,75.5,4.6,-4.6,0.0419813,1.8e-07,-1.8e-07,0,,,,,,0.0225,0.002,-0.002,3.9,1.1,-1.1,1.84,0.16,-0.16,954.0,223.0,-223.0,,,,,,,,,,0.7510,0.0000,0.0000,,,,,,,,Active,2013-06-06
10525049,K04252.01,19h09m27.37s,+47d47m06.8s,CANDIDATE,CANDIDATE,15.57118,0.00015,-0.00015,136.5881,0.0057,-0.0057,182,20,-20,2.62,0.35,-0.35,0.74,0.49,-0.49,0.977,0.014,-0.014,85.6,1.3,-1.3,0.0994695,6.3e-07,-6.3e-07,0,,,,,,0.0171,0.0018,-0.0018,12.9,3.5,-3.5,0.969,0.1,-0.1,406.0,23.0,-23.0,,,,,,,,,,0.5190,0.0000,0.0000,,,,,,,,Active,2013-06-06
9202434,K04253.01,18h54m54.13s,+45d40m36.7s,CANDIDATE,CANDIDATE,173.2549,0.0012,-0.0012,194.4599,0.0032,-0.0032,711,66,-66,1.55,0.36,-0.36,0.04,0.38,-0.38,0,23,-23,90,1.6,-1.6,0.638212,2.9e-06,-2.9e-06,0,,,,,,0.025,0.022,-0.022,863,3840,-3840,2.9,2.5,-2.5,364.0,26.0,-26.0,,,,,,,,,,1.0770,0.0000,0.0000,,,,,,,,Active,2013-06-06
8487645,K04254.01,19h15m24.07s,+44d35m49.0s,FALSE POSITIVE,FALSE POSITIVE,0.5309908,9.9e-06,-9.9e-06,131.697,0.0024,-0.0024,16.2,2,-2,2.1,3.2,-3.2,0.008,0.084,-0.084,0,123,-123,89,3686,-3686,0.0158311,2e-07,-2e-07,0,,,,,,0.0037,0.0035,-0.0035,1.9,7.7,-7.7,0.81,0.76,-0.76,4192.0,813.0,-813.0,,,,,,,,,,1.9890,0.0000,0.0000,,,,,,,,Active,2013-09-05
10407482,K04255.01,19h31m49.26s,+47d34m23.2s,CANDIDATE,CANDIDATE,6.305548,5.1e-05,-5.1e-05,131.5344,0.005,-0.005,223,24,-24,2.52,0.87,-0.87,0.2,1.2,-1.2,0.91,0.43,-0.43,84,16,-16,0.0592394,3.2e-07,-3.2e-07,0,,,,,,0.017,0.0097,-0.0097,9,19,-19,1.26,0.72,-0.72,724.0,548.0,-548.0,,,,,,,,,,0.6810,0.0000,0.0000,,,,,,,,Active,2013-06-06
