ra_str,dec_str,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_duration,koi_ingress,koi_impact,koi_incl,koi_sma,koi_eccen,koi_ror,koi_dor,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_sparprov,koi_vet_date
19h19m37.68s,+42d02m46.3s,FALSE POSITIVE,409.3,265.164,684,15.9,0.4,0,90,1.0793,0,0.024,201,2.5,248,NA,NA,0.963,NA,NA,,7/31/13
19h30m47.65s,+37d46m42.5s,FALSE POSITIVE,0.739761,131.8044,118,1.31,0.46,0.9854,17.7,0.012722,0,0.0143,1.0341,0.763,1035,NA,NA,0.49,NA,NA,,7/31/13
18h51m42.66s,+42d48m21.9s,FALSE POSITIVE,0.9507382,131.7792,208,1.105,0.02,0.6,83,0.0190884,0,0.0139,5,1.41,1837,NA,NA,0.928,NA,NA,,7/31/13
19h08m54.03s,+44d53m59.4s,FALSE POSITIVE,369.7167,179.431,1600,11.2,0.4,0,89.9,0.881456,0,0.035,254,2.5,177,NA,NA,0.644,NA,NA,,7/31/13
19h11m51.97s,+46d20m18.6s,FALSE POSITIVE,2.178153,132.0241,119,1.91,0.02,0,90,0.0339499,0,0.01,9,1.2,1536,NA,NA,1.062,NA,NA,,9/5/13
19h36m26.97s,+46d15m09.8s,FALSE POSITIVE,3.13412,133.5135,165,4.05,0.08,0.6,82,0.04295,0,0.0124,5,1.32,1288,NA,NA,0.979,NA,NA,,7/31/13
19h34m58.38s,+45d45m41.7s,FALSE POSITIVE,2.553185,132.4404,202,1.96,0.21,0.93,77,0.0365513,0,0.0161,4.1,1.15,1071.2,NA,NA,0.658,NA,NA,,9/12/13
19h38m51.10s,+46d34m34.4s,FALSE POSITIVE,1.332647,132.026,33,2.72,0.015,0.3,86,0.023705,0,0.0053,3.6,0.57,1656.2,NA,NA,1,NA,NA,,9/5/13
19h24m59.68s,+40d13m16.9s,FALSE POSITIVE,1.2880312,132.00164,4227,3.327,1.07,0.9142,56.66,0.022985,0,0.0733,1.663,8.575,1514.2,NA,NA,1.072,NA,NA,,9/5/13
19h03m24.76s,+44d34m20.0s,FALSE POSITIVE,349.347,241.533,759,13.1,0.3,0,89.9,0.962086,0,0.025,202,2.4,242,NA,NA,0.866,NA,NA,,7/31/13
19h33m57.18s,+39d41m46.8s,FALSE POSITIVE,0.56257,131.7269,29.5,1.58,0.017,0.72,68,0.0143019,0,0.0054,1.9,0.7,2652,NA,NA,1.195,NA,NA,,9/5/13
19h30m19.41s,+38d42m32.8s,FALSE POSITIVE,397.723,222.044,1183,12.7,4.2,0.954,89.45,0.986488,0,0.0413,100,3.93,223,NA,NA,0.874,NA,NA,,7/31/13
19h12m11.95s,+46d21m30.0s,FALSE POSITIVE,2.178151,132.0178,110,2.96,0.04,0.5,84,0.0313341,0,0.0098,5,1.02,1352,NA,NA,0.946,NA,NA,,9/5/13
