koi_disposition,koi_time0bk,koi_incl,koi_sma,koi_ror,koi_dor,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage
'FALSE POSITIVE',265.164,90,1.0793,0.024,201,NA,NA,0.963,NA,NA
'FALSE POSITIVE',131.8044,17.7,0.012722,0.0143,1.0341,NA,NA,0.49,NA,NA
'FALSE POSITIVE',131.7792,83,0.019088,0.0139,5,NA,NA,0.928,NA,NA
'FALSE POSITIVE',179.431,89.9,0.881456,0.035,254,NA,NA,0.644,NA,NA
'FALSE POSITIVE',132.0241,90,0.03395,0.01,9,NA,NA,1.062,NA,NA
'FALSE POSITIVE',133.5135,82,0.04295,0.0124,5,NA,NA,0.979,NA,NA
'FALSE POSITIVE',132.4404,77,0.036551,0.0161,4.1,NA,NA,0.658,NA,NA
'FALSE POSITIVE',132.026,86,0.023705,0.0053,3.6,NA,NA,1,NA,NA
'FALSE POSITIVE',132.00164,56.66,0.022985,0.0733,1.663,NA,NA,1.072,NA,NA
'FALSE POSITIVE',241.533,89.9,0.962086,0.025,202,NA,NA,0.866,NA,NA
'FALSE POSITIVE',131.7269,68,0.014302,0.0054,1.9,NA,NA,1.195,NA,NA
'FALSE POSITIVE',222.044,89.45,0.986488,0.0413,100,NA,NA,0.874,NA,NA
'FALSE POSITIVE',132.0178,84,0.031334,0.0098,5,NA,NA,0.946,NA,NA
'FALSE POSITIVE',131.697,89,0.015831,0.0037,1.9,NA,NA,1.989,NA,NA
'FALSE POSITIVE',132.29,82,0.050729,0.016,4,NA,NA,0.826,NA,NA
'FALSE POSITIVE',131.7776,55,0.014066,0.00439,1.47,NA,NA,1.386,NA,NA
'FALSE POSITIVE',297.04,89.9,0.992661,0.011,229,NA,NA,0.952,NA,NA
'FALSE POSITIVE',132.019,87,0.021928,0.0062,4,NA,NA,1.136,NA,NA
'FALSE POSITIVE',132.4521,37,0.027473,0.013,1.25,NA,NA,1,NA,NA
'FALSE POSITIVE',131.8777,46,0.017526,0.022,1.42,NA,NA,0.806,NA,NA
'FALSE POSITIVE',132.3579,79,0.032855,0.0086,3.2,NA,NA,0.89,NA,NA
'FALSE POSITIVE',131.63431,87.84,0.011218,0.039334,2.655409,NA,NA,0.742,NA,NA
'FALSE POSITIVE',136.8377,82,0.060424,0.021,5,NA,NA,0.668,NA,NA
'FALSE POSITIVE',132.1308,74,0.020233,0.09,3.6,NA,NA,1,NA,NA
'FALSE POSITIVE',132.3121,88,0.025129,0.011,3,NA,NA,1.115,NA,NA
'FALSE POSITIVE',134.073,90,0.115332,0.0083,8,NA,NA,1.685,NA,NA
'FALSE POSITIVE',281.524,89.9,1.01744,0.025,196,NA,NA,0.851,NA,NA
'FALSE POSITIVE',131.558,61,0.018335,0.0072,1.8,NA,NA,1.072,NA,NA
'FALSE POSITIVE',347.078,89.9,0.950148,0.023,195,NA,NA,0.937,NA,NA
'FALSE POSITIVE',133.5842,86,0.038076,0.0087,8,NA,NA,1.2,NA,NA
'FALSE POSITIVE',217.834,89.9,1.00494,0.016,190,NA,NA,0.867,NA,NA
'FALSE POSITIVE',178.139,89.9,1.01773,0.022,261,NA,NA,0.969,NA,NA
'FALSE POSITIVE',132.1274,75,0.014913,0.011,2.8,NA,NA,1.016,NA,NA
'FALSE POSITIVE',131.7459,76,0.027169,0.0137,2.1,NA,NA,3.35,NA,NA
'FALSE POSITIVE',131.5914,74,0.011697,0.0071,2.7,NA,NA,0.825,NA,NA
'FALSE POSITIVE',131.6116,52,0.028777,0.0067,1.6,NA,NA,1.118,NA,NA
CONFIRMED,187.519491,89.98,0.924437,0.017051,349.931089,NA,NA,0.811,NA,NA
'FALSE POSITIVE',131.887,76,0.015414,0.0099,2.3,NA,NA,0.909,NA,NA
'FALSE POSITIVE',131.6505,84,0.047248,0.0068,4,NA,NA,1.087,NA,NA
'FALSE POSITIVE',132.0619,75,0.015049,0.0088,3.3,NA,NA,0.889,NA,NA
'FALSE POSITIVE',132.39681,88.91,0.01843,0.056722,5.275011,NA,NA,0.857,NA,NA
'FALSE POSITIVE',132.3935,89,0.022369,0.0138,2.7,NA,NA,1.347,NA,NA
'FALSE POSITIVE',258.036,89.9,0.887417,0.02,143,NA,NA,0.991,NA,NA
'FALSE POSITIVE',133.0668,89,0.029705,0.008,6,NA,NA,0.897,NA,NA
'FALSE POSITIVE',131.85028,68,0.015469,0.0152,2.5,NA,NA,0.865,NA,NA
'FALSE POSITIVE',132.705,87,0.059968,0.01,3,NA,NA,0.989,NA,NA
'FALSE POSITIVE',132.0227,48,0.015133,0.0135,1.45,NA,NA,1.045,NA,NA
'FALSE POSITIVE',133.8775,88,0.040143,0.014,8,NA,NA,1.243,NA,NA
'FALSE POSITIVE',131.6259,84,0.03202,0.0088,7,NA,NA,1.352,NA,NA
'FALSE POSITIVE',131.7607,30,0.017988,0.017,1.15,NA,NA,0.979,NA,NA
'FALSE POSITIVE',131.7864,82,0.052417,0.018,6,NA,NA,0.762,NA,NA
'FALSE POSITIVE',131.78234,85,0.021877,0.0116,7.5,NA,NA,1.653,NA,NA
'FALSE POSITIVE',136.167,90,0.119372,0.0067,7,NA,NA,1.066,NA,NA
'FALSE POSITIVE',143.037,90,0.186695,0.014,51,NA,NA,1.887,NA,NA
'FALSE POSITIVE',159.322,89.9,0.911201,0.029,166,NA,NA,0.681,NA,NA
'FALSE POSITIVE',131.7784,67,0.013655,0.0141,2.1,NA,NA,0.956,NA,NA
'FALSE POSITIVE',341.2606,89.87,0.969249,0.0535,281,NA,NA,0.846,NA,NA
